wbgt,continuous_exposure_minutes,next_travel_minutes,time_since_rest_minutes,cooling_spot_distance_m,heat_risk_score,risk_level,rest_status
23.99,61.47,12.39,97.44,150.85,48.97,CAUTION,REST_RECOMMENDED
26.09,128.87,11.86,49.68,1400.81,75.38,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
28.12,123.23,34.35,108.54,1414.45,97.0,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
25.82,82.19,30.67,97.9,1371.09,74.0,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
28.98,57.62,24.29,93.69,1294.86,79.03,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
30.54,99.73,39.07,163.66,1323.0,100.0,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
25.88,122.59,14.29,78.48,291.43,69.62,REST_RECOMMENDED,REST_BEFORE_NEXT_VISIT
21.5,121.01,32.36,54.49,1379.67,50.0,REST_RECOMMENDED,REST_RECOMMENDED
28.57,96.93,27.71,99.44,843.31,92.0,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
31.89,27.8,33.3,9.4,785.12,66.26,REST_RECOMMENDED,REST_RECOMMENDED
22.52,64.26,17.41,81.64,334.15,39.63,CAUTION,REST_RECOMMENDED
26.03,90.64,10.5,33.91,1054.35,68.0,REST_RECOMMENDED,REST_RECOMMENDED
32.0,71.53,43.82,142.87,1474.5,91.2,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
24.84,84.37,21.75,52.65,1684.51,50.67,REST_RECOMMENDED,REST_RECOMMENDED
30.05,86.65,37.29,31.33,272.36,77.0,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
23.63,109.97,18.8,108.12,818.08,58.81,REST_RECOMMENDED,REST_RECOMMENDED
21.4,76.27,21.87,54.16,1544.48,39.0,CAUTION,MOVABLE
24.04,93.39,19.73,61.41,1148.24,58.53,REST_RECOMMENDED,REST_RECOMMENDED
27.76,55.19,8.32,154.65,1054.41,57.37,REST_RECOMMENDED,REST_RECOMMENDED
26.02,92.0,25.86,67.76,940.83,74.0,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
29.39,36.85,37.76,82.58,271.55,73.5,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
22.08,19.9,19.12,171.24,2024.04,27.33,LOW,MOVABLE
29.27,81.62,16.1,72.26,718.79,77.0,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
23.88,42.74,37.57,47.39,929.36,47.91,CAUTION,REST_RECOMMENDED
28.37,109.31,4.69,71.86,977.45,87.84,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
28.22,103.12,23.76,69.4,719.74,95.21,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
19.4,52.19,36.44,97.53,903.73,28.0,LOW,MOVABLE
29.28,124.33,22.86,107.87,1669.5,100.0,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
24.95,13.54,29.78,72.58,1003.56,37.19,CAUTION,MOVABLE
32.67,35.78,45.44,63.69,1677.73,84.01,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
23.43,132.07,10.24,32.8,835.3,53.42,REST_RECOMMENDED,REST_RECOMMENDED
31.56,144.2,33.56,35.76,623.98,88.46,IMMEDIATE_REST,REST_BEFORE_NEXT_VISIT
21.9,87.65,8.23,97.76,916.51,37.51,CAUTION,MOVABLE
18.79,104.37,20.42,43.91,272.55,38.77,CAUTION,MOVABLE
29.62,55.81,6.06,112.38,1085.0,75.54,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
19.01,116.8,10.84,62.41,1290.25,37.0,CAUTION,MOVABLE
19.99,123.5,42.64,101.01,1831.35,49.32,CAUTION,REST_RECOMMENDED
31.89,100.82,16.94,19.81,1123.23,80.0,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
24.87,72.64,44.96,95.21,1398.9,63.2,REST_RECOMMENDED,REST_RECOMMENDED
27.84,113.51,27.95,118.96,110.2,74.0,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
28.71,95.77,9.27,77.06,335.54,82.79,REST_REQUIRED,REST_BEFORE_NEXT_VISIT
